Configuration Name,Dodecahedron
Generated On,5/28/2026, 11:48:15 AM

Vertex Coordinates
Index,X,Y,Z
0,0,0,0
1,40,40,40
2,40,40,-40
3,40,-40,40
4,40,-40,-40
5,-40,40,40
6,-40,40,-40
7,-40,-40,40
8,-40,-40,-40
9,0,25,65
10,0,25,-65
11,0,-25,65
12,0,-25,-65
13,65,0,25
14,65,0,-25
15,-65,0,25
16,-65,0,-25
17,25,65,0
18,25,-65,0
19,-25,65,0
20,-25,-65,0
21,29,0,47
22,-29,0,47
23,29,0,-47
24,-29,0,-47
25,0,47,29
26,0,47,-29
27,0,-47,29
28,0,-47,-29
29,47,29,0
30,47,-29,0
31,-47,29,0
32,-47,-29,0

Summary Statistics
Category,Count
Tetrahedra,60
Total Faces,150
Boundary Faces,60
Interior Faces,90
Total Edges,122
Boundary Edges,90
Interior Edges,32
Total Vertices,33
Boundary Vertices,32
Interior Vertices,1
Shelling a0,1
Shelling a1,29
Shelling a2,29
Shelling a3,1

Tetrahedra
Index,v0,v1,v2,v3,6 x Volume
0,0,1,9,21,93400
1,0,1,13,21,93200
2,0,3,13,21,93200
3,0,3,11,21,93400
4,0,9,11,21,94250
5,0,5,9,22,93400
6,0,5,15,22,93200
7,0,7,15,22,93200
8,0,7,11,22,93400
9,0,9,11,22,94250
10,0,2,10,23,93400
11,0,2,14,23,93200
12,0,4,14,23,93200
13,0,4,12,23,93400
14,0,10,12,23,94250
15,0,6,10,24,93400
16,0,6,16,24,93200
17,0,8,16,24,93200
18,0,8,12,24,93400
19,0,10,12,24,94250
20,0,1,17,25,93400
21,0,1,9,25,93200
22,0,5,9,25,93200
23,0,5,19,25,93400
24,0,17,19,25,94250
25,0,2,17,26,93400
26,0,2,10,26,93200
27,0,6,10,26,93200
28,0,6,19,26,93400
29,0,17,19,26,94250
30,0,3,18,27,93400
31,0,3,11,27,93200
32,0,7,11,27,93200
33,0,7,20,27,93400
34,0,18,20,27,94250
35,0,4,18,28,93400
36,0,4,12,28,93200
37,0,8,12,28,93200
38,0,8,20,28,93400
39,0,18,20,28,94250
40,0,1,13,29,93400
41,0,1,17,29,93200
42,0,2,17,29,93200
43,0,2,14,29,93400
44,0,13,14,29,94250
45,0,3,13,30,93400
46,0,3,18,30,93200
47,0,4,18,30,93200
48,0,4,14,30,93400
49,0,13,14,30,94250
50,0,5,15,31,93400
51,0,5,19,31,93200
52,0,6,19,31,93200
53,0,6,16,31,93400
54,0,15,16,31,94250
55,0,7,15,32,93400
56,0,7,20,32,93200
57,0,8,20,32,93200
58,0,8,16,32,93400
59,0,15,16,32,94250

Interior Faces
Index,v0,v1,v2,Opposite Node 1,Opposite Node 2
0,0,1,9,21,25
1,0,1,21,9,13
2,0,9,21,1,11
3,0,1,13,21,29
4,0,13,21,1,3
5,0,3,13,21,30
6,0,3,21,13,11
7,0,3,11,21,27
8,0,11,21,3,9
9,0,9,11,21,22
10,0,5,9,22,25
11,0,5,22,9,15
12,0,9,22,5,11
13,0,5,15,22,31
14,0,15,22,5,7
15,0,7,15,22,32
16,0,7,22,15,11
17,0,7,11,22,27
18,0,11,22,7,9
19,0,2,10,23,26
20,0,2,23,10,14
21,0,10,23,2,12
22,0,2,14,23,29
23,0,14,23,2,4
24,0,4,14,23,30
25,0,4,23,14,12
26,0,4,12,23,28
27,0,12,23,4,10
28,0,10,12,23,24
29,0,6,10,24,26
30,0,6,24,10,16
31,0,10,24,6,12
32,0,6,16,24,31
33,0,16,24,6,8
34,0,8,16,24,32
35,0,8,24,16,12
36,0,8,12,24,28
37,0,12,24,8,10
38,0,1,17,25,29
39,0,1,25,17,9
40,0,17,25,1,19
41,0,9,25,1,5
42,0,5,25,9,19
43,0,5,19,25,31
44,0,19,25,5,17
45,0,17,19,25,26
46,0,2,17,26,29
47,0,2,26,17,10
48,0,17,26,2,19
49,0,10,26,2,6
50,0,6,26,10,19
51,0,6,19,26,31
52,0,19,26,6,17
53,0,3,18,27,30
54,0,3,27,18,11
55,0,18,27,3,20
56,0,11,27,3,7
57,0,7,27,11,20
58,0,7,20,27,32
59,0,20,27,7,18
60,0,18,20,27,28
61,0,4,18,28,30
62,0,4,28,18,12
63,0,18,28,4,20
64,0,12,28,4,8
65,0,8,28,12,20
66,0,8,20,28,32
67,0,20,28,8,18
68,0,1,29,13,17
69,0,13,29,1,14
70,0,17,29,1,2
71,0,2,29,17,14
72,0,14,29,2,13
73,0,13,14,29,30
74,0,3,30,13,18
75,0,13,30,3,14
76,0,18,30,3,4
77,0,4,30,18,14
78,0,14,30,4,13
79,0,5,31,15,19
80,0,15,31,5,16
81,0,19,31,5,6
82,0,6,31,19,16
83,0,16,31,6,15
84,0,15,16,31,32
85,0,7,32,15,20
86,0,15,32,7,16
87,0,20,32,7,8
88,0,8,32,20,16
89,0,16,32,8,15

Boundary Faces
Index,v0,v1,v2,Opposite Node
0,1,9,21,0
1,1,13,21,0
2,3,13,21,0
3,3,11,21,0
4,9,11,21,0
5,5,9,22,0
6,5,15,22,0
7,7,15,22,0
8,7,11,22,0
9,9,11,22,0
10,2,10,23,0
11,2,14,23,0
12,4,14,23,0
13,4,12,23,0
14,10,12,23,0
15,6,10,24,0
16,6,16,24,0
17,8,16,24,0
18,8,12,24,0
19,10,12,24,0
20,1,17,25,0
21,1,9,25,0
22,5,9,25,0
23,5,19,25,0
24,17,19,25,0
25,2,17,26,0
26,2,10,26,0
27,6,10,26,0
28,6,19,26,0
29,17,19,26,0
30,3,18,27,0
31,3,11,27,0
32,7,11,27,0
33,7,20,27,0
34,18,20,27,0
35,4,18,28,0
36,4,12,28,0
37,8,12,28,0
38,8,20,28,0
39,18,20,28,0
40,1,13,29,0
41,1,17,29,0
42,2,17,29,0
43,2,14,29,0
44,13,14,29,0
45,3,13,30,0
46,3,18,30,0
47,4,18,30,0
48,4,14,30,0
49,13,14,30,0
50,5,15,31,0
51,5,19,31,0
52,6,19,31,0
53,6,16,31,0
54,15,16,31,0
55,7,15,32,0
56,7,20,32,0
57,8,20,32,0
58,8,16,32,0
59,15,16,32,0

Interior Edges
Index,v0,v1,Degree
0,0,1,6
1,0,9,6
2,0,21,5
3,0,13,6
4,0,3,6
5,0,11,6
6,0,5,6
7,0,22,5
8,0,15,6
9,0,7,6
10,0,2,6
11,0,10,6
12,0,23,5
13,0,14,6
14,0,4,6
15,0,12,6
16,0,6,6
17,0,24,5
18,0,16,6
19,0,8,6
20,0,17,6
21,0,25,5
22,0,19,6
23,0,26,5
24,0,18,6
25,0,27,5
26,0,20,6
27,0,28,5
28,0,29,5
29,0,30,5
30,0,31,5
31,0,32,5

Boundary Edges
Index,v0,v1,Degree
0,1,9,2
1,1,21,2
2,9,21,2
3,1,13,2
4,13,21,2
5,3,13,2
6,3,21,2
7,3,11,2
8,11,21,2
9,9,11,2
10,5,9,2
11,5,22,2
12,9,22,2
13,5,15,2
14,15,22,2
15,7,15,2
16,7,22,2
17,7,11,2
18,11,22,2
19,2,10,2
20,2,23,2
21,10,23,2
22,2,14,2
23,14,23,2
24,4,14,2
25,4,23,2
26,4,12,2
27,12,23,2
28,10,12,2
29,6,10,2
30,6,24,2
31,10,24,2
32,6,16,2
33,16,24,2
34,8,16,2
35,8,24,2
36,8,12,2
37,12,24,2
38,1,17,2
39,1,25,2
40,17,25,2
41,9,25,2
42,5,25,2
43,5,19,2
44,19,25,2
45,17,19,2
46,2,17,2
47,2,26,2
48,17,26,2
49,10,26,2
50,6,26,2
51,6,19,2
52,19,26,2
53,3,18,2
54,3,27,2
55,18,27,2
56,11,27,2
57,7,27,2
58,7,20,2
59,20,27,2
60,18,20,2
61,4,18,2
62,4,28,2
63,18,28,2
64,12,28,2
65,8,28,2
66,8,20,2
67,20,28,2
68,1,29,2
69,13,29,2
70,17,29,2
71,2,29,2
72,14,29,2
73,13,14,2
74,3,30,2
75,13,30,2
76,18,30,2
77,4,30,2
78,14,30,2
79,5,31,2
80,15,31,2
81,19,31,2
82,6,31,2
83,16,31,2
84,15,16,2
85,7,32,2
86,15,32,2
87,20,32,2
88,8,32,2
89,16,32,2

Interior Vertices
Index,v0,Degree
0,0,60

Boundary Vertices
Index,v0,Degree
0,1,6
1,9,6
2,21,5
3,13,6
4,3,6
5,11,6
6,5,6
7,22,5
8,15,6
9,7,6
10,2,6
11,10,6
