Configuration Name,Rudin's unshellable
Generated On,5/28/2026, 12:09:48 PM

Vertex Coordinates
Index,X,Y,Z
0,36,36,36
1,36,-36,-36
2,-36,36,-36
3,-36,-36,36
4,0,36,0
5,0,-36,0
6,22,33,25
7,25,-33,-22
8,-22,33,-25
9,-25,-33,22
10,22,18,32
11,32,-18,-22
12,-22,18,-32
13,-32,-18,22

Summary Statistics
Category,Count
Tetrahedra,41
Total Faces,94
Boundary Faces,24
Interior Faces,70
Total Edges,66
Boundary Edges,36
Interior Edges,30
Total Vertices,14
Boundary Vertices,14
Interior Vertices,0
Shelling a0,1
Shelling a1,10
Shelling a2,30
Shelling a3,0

Tetrahedra
Index,v0,v1,v2,v3,6 x Volume
0,0,1,6,10,22176
1,1,2,7,11,22176
2,2,3,8,12,22176
3,0,3,9,13,22176
4,0,1,6,11,1728
5,1,2,7,12,1728
6,2,3,8,13,1728
7,0,3,9,10,1728
8,1,6,10,11,888
9,2,7,11,12,888
10,3,8,12,13,888
11,0,9,10,13,888
12,1,7,10,11,4416
13,2,8,11,12,4416
14,3,9,12,13,4416
15,0,6,10,13,4416
16,10,11,12,13,217152
17,6,10,11,12,56328
18,7,11,12,13,56328
19,8,10,12,13,56328
20,9,10,11,13,56328
21,0,6,11,12,12408
22,1,7,12,13,12408
23,2,8,10,13,12408
24,3,9,10,11,12408
25,0,8,11,12,24960
26,1,9,12,13,24960
27,2,6,10,13,24960
28,3,7,10,11,24960
29,0,4,8,12,864
30,1,5,9,13,864
31,2,4,6,10,864
32,3,5,7,11,864
33,0,4,6,12,3024
34,1,5,7,13,3024
35,2,4,8,10,3024
36,3,5,9,11,3024
37,4,6,10,12,5544
38,5,7,11,13,5544
39,4,8,10,12,5544
40,5,9,11,13,5544

Interior Faces
Index,v0,v1,v2,Opposite Node 1,Opposite Node 2
0,0,1,6,10,11
1,0,6,10,1,13
2,1,6,10,0,11
3,1,2,7,11,12
4,1,7,11,2,10
5,2,7,11,1,12
6,2,3,8,12,13
7,2,8,12,3,11
8,3,8,12,2,13
9,0,3,9,13,10
10,0,9,13,3,10
11,3,9,13,0,12
12,0,6,11,1,12
13,1,6,11,0,10
14,1,7,12,2,13
15,2,7,12,1,11
16,2,8,13,3,10
17,3,8,13,2,12
18,0,9,10,3,13
19,3,9,10,0,11
20,1,10,11,6,7
21,6,10,11,1,12
22,2,11,12,7,8
23,7,11,12,2,13
24,3,12,13,8,9
25,8,12,13,3,10
26,0,10,13,9,6
27,9,10,13,0,11
28,7,10,11,1,3
29,8,11,12,2,0
30,9,12,13,3,1
31,6,10,13,0,2
32,10,11,12,13,6
33,10,11,13,12,9
34,10,12,13,11,8
35,11,12,13,10,7
36,6,10,12,11,4
37,6,11,12,10,0
38,7,11,13,12,5
39,7,12,13,11,1
40,8,10,12,13,4
41,8,10,13,12,2
42,9,10,11,13,3
43,9,11,13,10,5
44,0,6,12,11,4
45,0,11,12,6,8
46,1,7,13,12,5
47,1,12,13,7,9
48,2,8,10,13,4
49,2,10,13,8,6
50,3,9,11,10,5
51,3,10,11,9,7
52,0,8,12,11,4
53,1,9,13,12,5
54,2,6,10,13,4
55,3,7,11,10,5
56,0,4,12,8,6
57,4,8,12,0,10
58,1,5,13,9,7
59,5,9,13,1,11
60,2,4,10,6,8
61,4,6,10,2,12
62,3,5,11,7,9
63,5,7,11,3,13
64,4,6,12,0,10
65,5,7,13,1,11
66,4,8,10,2,12
67,5,9,11,3,13
68,4,10,12,6,8
69,5,11,13,7,9

Boundary Faces
Index,v0,v1,v2,Opposite Node
0,0,1,10,6
1,1,2,11,7
2,2,3,12,8
3,0,3,13,9
4,0,1,11,6
5,1,2,12,7
6,2,3,13,8
7,0,3,10,9
8,1,7,10,11
9,2,8,11,12
10,3,9,12,13
11,0,6,13,10
12,0,8,11,12
13,1,9,12,13
14,2,6,13,10
15,3,7,10,11
16,0,4,8,12
17,1,5,9,13
18,2,4,6,10
19,3,5,7,11
20,0,4,6,12
21,1,5,7,13
22,2,4,8,10
23,3,5,9,11

Interior Edges
Index,v0,v1,Degree
0,1,6,3
1,6,10,7
2,2,7,3
3,7,11,7
4,3,8,3
5,8,12,7
6,0,9,3
7,9,13,7
8,6,11,4
9,7,12,4
10,8,13,4
11,9,10,4
12,10,11,7
13,11,12,7
14,12,13,7
15,10,13,7
16,10,12,5
17,11,13,5
18,6,12,4
19,7,13,4
20,8,10,4
21,9,11,4
22,0,12,4
23,1,13,4
24,2,10,4
25,3,11,4
26,4,12,4
27,5,13,4
28,4,10,4
29,5,11,4

Boundary Edges
Index,v0,v1,Degree
0,0,1,2
1,0,6,5
2,0,10,4
3,1,10,3
4,1,2,2
5,1,7,5
6,1,11,4
7,2,11,3
8,2,3,2
9,2,8,5
10,2,12,4
11,3,12,3
12,0,3,2
13,3,9,5
14,0,13,3
15,3,13,4
16,0,11,3
17,1,12,3
18,2,13,3
19,3,10,3
20,7,10,2
21,8,11,2
22,9,12,2
23,6,13,2
24,0,8,2
25,1,9,2
26,2,6,2
27,3,7,2
28,0,4,2
29,4,8,3
30,1,5,2
31,5,9,3
32,2,4,2
33,4,6,3
34,3,5,2
35,5,7,3

Interior Vertices
Index,v0,Degree

Boundary Vertices
Index,v0,Degree
0,0,10
1,1,10
2,6,10
3,10,18
4,2,10
5,7,10
6,11,18
7,3,10
8,8,10
9,12,18
10,9,10
11,13,18
12,4,6
13,5,6
