Configuration Name,T60
Generated On,5/28/2026, 12:03:21 PM

Vertex Coordinates
Index,X,Y,Z
0,9,9,9
1,9,-9,-9
2,-9,9,-9
3,-9,-9,9
4,3,3,-3
5,3,-3,3
6,-3,3,3
7,-3,-3,-3
8,-3,0,0
9,0,-3,0
10,0,0,-3
11,0,0,3
12,0,3,0
13,3,0,0
14,1,1,1
15,1,-1,-1
16,-1,1,-1
17,-1,-1,1
18,0,0,0

Summary Statistics
Category,Count
Tetrahedra,60
Total Faces,126
Boundary Faces,12
Interior Faces,114
Total Edges,84
Boundary Edges,18
Interior Edges,66
Total Vertices,19
Boundary Vertices,8
Interior Vertices,11
Shelling a0,1
Shelling a1,15
Shelling a2,33
Shelling a3,11

Tetrahedra
Index,v0,v1,v2,v3,6 x Volume
0,4,13,14,18,18
1,5,13,14,18,18
2,4,12,14,18,18
3,6,12,14,18,18
4,5,11,14,18,18
5,6,11,14,18,18
6,0,4,13,14,144
7,0,5,13,14,144
8,0,4,12,14,144
9,0,6,12,14,144
10,0,5,11,14,144
11,0,6,11,14,144
12,4,13,15,18,18
13,5,13,15,18,18
14,4,10,15,18,18
15,7,10,15,18,18
16,5,9,15,18,18
17,7,9,15,18,18
18,1,4,13,15,144
19,1,5,13,15,144
20,1,4,10,15,144
21,1,7,10,15,144
22,1,5,9,15,144
23,1,7,9,15,144
24,4,12,16,18,18
25,6,12,16,18,18
26,4,10,16,18,18
27,7,10,16,18,18
28,6,8,16,18,18
29,7,8,16,18,18
30,2,4,12,16,144
31,2,6,12,16,144
32,2,4,10,16,144
33,2,7,10,16,144
34,2,6,8,16,144
35,2,7,8,16,144
36,5,11,17,18,18
37,6,11,17,18,18
38,5,9,17,18,18
39,7,9,17,18,18
40,6,8,17,18,18
41,7,8,17,18,18
42,3,5,11,17,144
43,3,6,11,17,144
44,3,5,9,17,144
45,3,7,9,17,144
46,3,6,8,17,144
47,3,7,8,17,144
48,0,1,4,13,648
49,0,1,5,13,648
50,0,2,4,12,648
51,0,2,6,12,648
52,1,2,4,10,648
53,1,2,7,10,648
54,0,3,5,11,648
55,0,3,6,11,648
56,1,3,5,9,648
57,1,3,7,9,648
58,2,3,6,8,648
59,2,3,7,8,648

Interior Faces
Index,v0,v1,v2,Opposite Node 1,Opposite Node 2
0,4,13,14,18,0
1,4,13,18,14,15
